asset,frequency,model_family,regime,purpose,block,target,n,n_full,n_reduced,same_support,sample_start,sample_end,calendar,calendar_assumption,close_time_assumption,feature_list,dropped_features,row_index_hash,full_r2,reduced_r2,drop_block_delta_r2,method_note
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,co_movement_integration,equity_beta,btc_ret,1233,1233,1233,True,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,qqq_ret|spy_ret|iwm_ret,e67342d46aa84be9,0.2373892349830511,0.1992013702797913,0.0381878647032597,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,co_movement_integration,macro_rates_fx_vol,btc_ret,1233,1233,1233,True,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,e67342d46aa84be9,0.2373892349830511,0.2055579010084577,0.0318313339745933,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,equity_beta,btc_ret,797,797,797,True,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,qqq_ret|spy_ret|iwm_ret,97a52cd033d2f792,0.2588826615491054,0.2340220067474636,0.0248606548016417,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,macro_rates_fx_vol,btc_ret,797,797,797,True,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,97a52cd033d2f792,0.2588826615491054,0.2021444337285297,0.0567382278205756,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,equity_beta,btc_ret,436,436,436,True,2024-01-11,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,qqq_ret|spy_ret|iwm_ret,837a7fbcc7cd4848,0.2472265585306232,0.1588704739773304,0.0883560845532928,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,daily,long_sample_contemporaneous_exposure,btc_etf_era,co_movement_integration,macro_rates_fx_vol,btc_ret,436,436,436,True,2024-01-11,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,837a7fbcc7cd4848,0.2472265585306232,0.2303360368656252,0.016890521664998,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,weekly,long_sample_contemporaneous_exposure,full_common_sample,co_movement_integration,equity_beta,btc_ret,327,327,327,True,2020-01-10,2026-04-10,tradfi_friday_weekly,Weekly TradFi models use Friday-to-Friday BTC/ETH and TradFi moves.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,qqq_ret|spy_ret|iwm_ret,831cdf6bb4c09f89,0.1931596238616315,0.1246484226369224,0.0685112012247091,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,weekly,long_sample_contemporaneous_exposure,full_common_sample,co_movement_integration,macro_rates_fx_vol,btc_ret,327,327,327,True,2020-01-10,2026-04-10,tradfi_friday_weekly,Weekly TradFi models use Friday-to-Friday BTC/ETH and TradFi moves.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,831cdf6bb4c09f89,0.1931596238616315,0.1566133395222116,0.0365462843394198,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,weekly,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,equity_beta,btc_ret,209,209,209,True,2020-01-10,2024-01-05,tradfi_friday_weekly,Weekly TradFi models use Friday-to-Friday BTC/ETH and TradFi moves.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,qqq_ret|spy_ret|iwm_ret,601045f9ecee1d03,0.2069763955310509,0.1431498603585032,0.0638265351725477,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,weekly,long_sample_contemporaneous_exposure,pre_btc_etf,co_movement_integration,macro_rates_fx_vol,btc_ret,209,209,209,True,2020-01-10,2024-01-05,tradfi_friday_weekly,Weekly TradFi models use Friday-to-Friday BTC/ETH and TradFi moves.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,601045f9ecee1d03,0.2069763955310509,0.1525382335018686,0.0544381620291822,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
