date,universe,benchmark,window_days,beta,correlation,method_note
2023-02-14,clean_risk_ex_btc_eth,btc,90,0.9738299291669689,0.8410118155352697,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-14,clean_risk_ex_btc_eth,eth,90,0.9034322238549137,0.9263424442461035,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-14,top10_ex_btc_eth,btc,90,0.9417759594245226,0.8359213830615041,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-14,top10_ex_btc_eth,eth,90,0.8701632717978233,0.9170132060759664,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-14,top50_ex_btc_eth,btc,90,0.9732651811835532,0.8507515507428721,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-14,top50_ex_btc_eth,eth,90,0.9000781186087249,0.9341331268439905,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-15,clean_risk_ex_btc_eth,btc,90,0.9020319171580082,0.8489657569174596,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-15,clean_risk_ex_btc_eth,eth,90,0.8960401225691627,0.9334188292877542,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-15,top10_ex_btc_eth,btc,90,0.8875908839848188,0.8508166335026589,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-15,top10_ex_btc_eth,eth,90,0.873379628900549,0.9266314341256487,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-15,top50_ex_btc_eth,btc,90,0.9036144372606021,0.8587378468683649,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-15,top50_ex_btc_eth,eth,90,0.8944116802370458,0.9407965948362628,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-16,clean_risk_ex_btc_eth,btc,90,0.9228401160466579,0.852664824829523,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-16,clean_risk_ex_btc_eth,eth,90,0.913491629991614,0.927328654932498,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-16,top10_ex_btc_eth,btc,90,0.9026144941217793,0.8553954090074934,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-16,top10_ex_btc_eth,eth,90,0.8871016688949118,0.9236665868051231,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-16,top50_ex_btc_eth,btc,90,0.9225586693075278,0.8622892073025332,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-16,top50_ex_btc_eth,eth,90,0.9106957702725753,0.935210772850538,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-17,clean_risk_ex_btc_eth,btc,90,0.9236223113499769,0.8557056404273807,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-17,clean_risk_ex_btc_eth,eth,90,0.9168456360095373,0.9283341773928127,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-17,top10_ex_btc_eth,btc,90,0.8984950111703631,0.8569093526026991,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-17,top10_ex_btc_eth,eth,90,0.8870833815452254,0.9246168301181473,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-02-17,top50_ex_btc_eth,btc,90,0.923059873825731,0.8651160034373311,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
