check_id,symbol,intended_name,canonical_asset_key,observed_rows,status,note
selected_major_btc,BTC,Bitcoin,coingecko:bitcoin,78,pass,"Canonical ID, not symbol alone."
selected_major_eth,ETH,Ethereum,coingecko:ethereum,78,pass,"Canonical ID, not symbol alone."
selected_major_bnb,BNB,BNB,coingecko:binancecoin,78,pass,"Canonical ID, not symbol alone."
selected_major_sol,SOL,Solana,coingecko:solana,74,pass,"Canonical ID, not symbol alone."
selected_major_xrp,XRP,XRP,coingecko:ripple,78,pass,"Canonical ID, not symbol alone."
selected_major_doge,DOGE,Dogecoin,coingecko:dogecoin,78,pass,"Canonical ID, not symbol alone."
selected_major_trx,TRX,TRON,coingecko:tron,78,pass,"Canonical ID, not symbol alone."
selected_major_ton,TON,Toncoin,coingecko:the-open-network,44,pass,"Canonical ID, not symbol alone."
selected_major_ada,ADA,Cardano,coingecko:cardano,77,pass,"Canonical ID, not symbol alone."
selected_major_hype,HYPE,Hyperliquid,coingecko:hyperliquid,20,pass,"Canonical ID, not symbol alone."
toncoin_not_tokamak,TON,the-open-network,,,pass,Explicit taxonomy prevents collision with Tokamak Network.
sol_not_wrapped_sol,SOL,solana,,,pass,Explicit taxonomy prevents collision with Wrapped SOL.
xrp_not_binance_peg_xrp,XRP,ripple,,,pass,Explicit taxonomy prevents collision with Binance-Peg XRP.
doge_not_binance_peg_doge,DOGE,dogecoin,,,pass,Explicit taxonomy prevents collision with Binance-Peg DOGE.
btc_eth_wrappers_separated,WBTC/WETH,wrapped assets,,,pass,Explicit taxonomy prevents collision with BTC/ETH base assets.
lst_governance_separated,LDO/RPL/EIGEN/ETHFI,risk/governance,,,pass,Explicit taxonomy prevents collision with staking derivatives.
