asset,frequency,model_family,regime,purpose,block,target,n,n_full,n_reduced,same_support,sample_start,sample_end,calendar,calendar_assumption,close_time_assumption,feature_list,dropped_features,row_index_hash,full_r2,reduced_r2,drop_block_delta_r2,method_note
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,equity_beta,btc_ret,434,434,434,True,2024-01-17,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,qqq_ret|spy_ret|iwm_ret,ac986375910ea80e,0.365612481454255,0.318350204017377,0.0472622774368786,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,macro_rates_fx_vol,btc_ret,434,434,434,True,2024-01-17,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,ac986375910ea80e,0.365612481454255,0.348755116582611,0.0168573648716441,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,etf_flow_lag0,btc_ret,434,434,434,True,2024-01-17,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,btc_etf_flow_intensity_lag0,ac986375910ea80e,0.365612481454255,0.265841303764078,0.0997711776901768,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,etf_flow_lag1,btc_ret,434,434,434,True,2024-01-17,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,btc_etf_flow_intensity_lag1,ac986375910ea80e,0.365612481454255,0.355942353053634,0.009670128400621,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,lagged_state,btc_ret,434,434,434,True,2024-01-17,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,ac986375910ea80e,0.365612481454255,0.354925377976419,0.010687103477836,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,weekly,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,equity_beta,btc_ret,118,118,118,True,2024-01-12,2026-04-10,etf_friday_weekly,Weekly TradFi models use Friday-to-Friday BTC/ETH and TradFi moves. ETF-era weekly rows are Friday-ended trading-week summaries.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,qqq_ret|spy_ret|iwm_ret,afc51b431e243d4f,0.61771646681756,0.569504015855894,0.0482124509616656,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,weekly,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,macro_rates_fx_vol,btc_ret,118,118,118,True,2024-01-12,2026-04-10,etf_friday_weekly,Weekly TradFi models use Friday-to-Friday BTC/ETH and TradFi moves. ETF-era weekly rows are Friday-ended trading-week summaries.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,afc51b431e243d4f,0.61771646681756,0.593856895362264,0.0238595714552954,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,weekly,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,etf_flow_lag0,btc_ret,118,118,118,True,2024-01-12,2026-04-10,etf_friday_weekly,Weekly TradFi models use Friday-to-Friday BTC/ETH and TradFi moves. ETF-era weekly rows are Friday-ended trading-week summaries.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,btc_etf_flow_intensity_lag0,afc51b431e243d4f,0.61771646681756,0.267358962231457,0.350357504586103,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
BTC,weekly,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,lagged_state,btc_ret,118,118,118,True,2024-01-12,2026-04-10,etf_friday_weekly,Weekly TradFi models use Friday-to-Friday BTC/ETH and TradFi moves. ETF-era weekly rows are Friday-ended trading-week summaries.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_to_mcap_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,afc51b431e243d4f,0.61771646681756,0.584501680997714,0.0332147858198452,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
ETH,daily,etf_era_augmented,eth_etf_era,etf_era_market_plumbing,equity_beta,eth_ret,333,333,333,True,2024-07-24,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|eth_etf_flow_intensity_lag0|eth_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|eth_oi_to_mcap_growth_lag1|eth_funding_z_lag1,qqq_ret|spy_ret|iwm_ret,9ededd103d2ffffa,0.385497182514907,0.278982746557043,0.106514435957864,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
ETH,daily,etf_era_augmented,eth_etf_era,etf_era_market_plumbing,macro_rates_fx_vol,eth_ret,333,333,333,True,2024-07-24,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|eth_etf_flow_intensity_lag0|eth_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|eth_oi_to_mcap_growth_lag1|eth_funding_z_lag1,dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1,9ededd103d2ffffa,0.385497182514907,0.378517760609268,0.0069794219056394,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
ETH,daily,etf_era_augmented,eth_etf_era,etf_era_market_plumbing,etf_flow_lag0,eth_ret,333,333,333,True,2024-07-24,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|eth_etf_flow_intensity_lag0|eth_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|eth_oi_to_mcap_growth_lag1|eth_funding_z_lag1,eth_etf_flow_intensity_lag0,9ededd103d2ffffa,0.385497182514907,0.351764215243932,0.033732967270975,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
ETH,daily,etf_era_augmented,eth_etf_era,etf_era_market_plumbing,etf_flow_lag1,eth_ret,333,333,333,True,2024-07-24,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|eth_etf_flow_intensity_lag0|eth_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|eth_oi_to_mcap_growth_lag1|eth_funding_z_lag1,eth_etf_flow_intensity_lag1,9ededd103d2ffffa,0.385497182514907,0.383751011043976,0.0017461714709319,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
ETH,daily,etf_era_augmented,eth_etf_era,etf_era_market_plumbing,lagged_state,eth_ret,333,333,333,True,2024-07-24,2026-04-10,etf_trading_daily,ETF-era daily panel uses dates with ETF flow observations; BTC/ETH returns run from the prior ETF trading date to the current ETF trading date.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|eth_etf_flow_intensity_lag0|eth_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|eth_oi_to_mcap_growth_lag1|eth_funding_z_lag1,stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|eth_oi_to_mcap_growth_lag1|eth_funding_z_lag1,9ededd103d2ffffa,0.385497182514907,0.356096447270595,0.0294007352443124,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
ETH,weekly,etf_era_augmented,eth_etf_era,etf_era_market_plumbing,equity_beta,eth_ret,90,90,90,True,2024-07-26,2026-04-10,etf_friday_weekly,Weekly TradFi models use Friday-to-Friday BTC/ETH and TradFi moves. ETF-era weekly rows are Friday-ended trading-week summaries.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|eth_etf_flow_intensity_lag0|stablecoin_supply_growth_lag1|valuation_sensitive_defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|eth_oi_to_mcap_growth_lag1|eth_funding_z_lag1,qqq_ret|spy_ret|iwm_ret,edb246d4a9fc8c6a,0.475740706099656,0.370054855899224,0.105685850200432,R2_full - R2_reduced on one complete-case estimation frame; not conventional partial R-squared
