claim_id,module_id,claim_text,sample,method,uncertainty,evidence_grade,source_table,source_figure,limitation,status,module,finding,outcome,feature_or_block,estimate_summary,uncertainty_summary,sample_summary,frequency,timing,sensitivity_summary,interpretation,alternative_explanation,source_model_ids,claim_quality_dimension,measurement_risk_flag
data_measurement_inventory_01,00_data_measurement_foundation,The local inventory covers 584 raw series across 8 provider groups and 31 registered features.,Files currently present under data_local/raw plus config/feature_registry.yml.,"Filesystem inventory, feature-registry parse, and processed-panel coverage audit.","License status is release-risk classification, not legal permission.",A for local inventory; B for release-risk classification.,tables/provider_inventory.csv; tables/raw_file_inventory.csv; tables/feature_inventory.csv,figures/data_governance_inventory.png,Provider files remain local and untracked.,accepted_qualified,00_data_measurement_foundation,The local inventory covers 584 raw series across 8 provider groups and 31 registered features.,data and measurement governance,all local data,The local inventory covers 584 raw series across 8 provider groups and 31 registered features.,"License status is release-risk classification, not legal permission.",Files currently present under data_local/raw plus config/feature_registry.yml.,mixed,source-specific timing audited,"Filesystem inventory, feature-registry parse, and processed-panel coverage audit.",The local inventory covers 584 raw series across 8 provider groups and 31 registered features.,Provider files remain local and untracked.,table:provider_inventory; table:raw_file_inventory; table:feature_inventory,sample,False
data_measurement_usage_01,00_data_measurement_foundation,Every registered or discovered processed feature receives one usage status; 25 are marked primary_analysis.,Union of registered features and local processed-panel columns.,"Deterministic one-status taxonomy using coverage, registration, unit, timing, and measurement risk.",Automated status does not prove empirical strength.,B,tables/feature_usage_matrix.csv; tables/measurement_risk_audit.csv,figures/coverage_missingness_by_block.png,145 measurement-risk rows constrain later modules.,accepted_qualified,00_data_measurement_foundation,Every registered or discovered processed feature receives one usage status; 25 are marked primary_analysis.,data and measurement governance,all local data,Every registered or discovered processed feature receives one usage status; 25 are marked primary_analysis.,Automated status does not prove empirical strength.,Union of registered features and local processed-panel columns.,mixed,source-specific timing audited,"Deterministic one-status taxonomy using coverage, registration, unit, timing, and measurement risk.",Every registered or discovered processed feature receives one usage status; 25 are marked primary_analysis.,145 measurement-risk rows constrain later modules.,table:feature_usage_matrix; table:measurement_risk_audit,sample|measurement,False
cross_asset_dependence_01,01_cross_asset_dependence_regimes,Selected-major crypto returns share a strong common factor on the matched current-cohort daily panel.,"2024-11-30 to 2026-06-16, n=563","Matched-window correlation, lower-tail co-exceedance, and PCA diagnostics.",Reported in source tables where applicable; otherwise descriptive and coverage-bound.,B,tables/pca_common_factor_loadings.csv; tables/pca_variance_share.csv; tables/pearson_correlation_matrix.csv,figures/01_cross_asset_clustered_correlation.png,Current-cohort daily data is survivorship-biased and does not establish historical altseason behavior.,accepted_qualified,01_cross_asset_dependence_regimes,Selected-major crypto returns share a strong common factor on the matched current-cohort daily panel.,module-level evidence,see source_table,Selected-major crypto returns share a strong common factor on the matched current-cohort daily panel.,Reported in source tables where applicable; otherwise descriptive and coverage-bound.,"2024-11-30 to 2026-06-16, n=563",see source table,see source table,"Matched-window correlation, lower-tail co-exceedance, and PCA diagnostics.",Selected-major crypto returns share a strong common factor on the matched current-cohort daily panel.,Current-cohort daily data is survivorship-biased and does not establish historical altseason behavior.,table:pca_common_factor_loadings; table:pca_variance_share; table:pearson_correlation_matrix,sample|measurement,True
macro_tradfi_01,02_macro_tradfi_integration,Later-sample equity co-movement is higher in the synchronized BTC/ETH exposure tables.,"2020-01-03 to 2026-04-12, n=54","HAC OLS, same-support block R2 deletion, rolling beta, FDR, VIF, and ridge sensitivity.",Reported in source tables where applicable; otherwise descriptive and coverage-bound.,B,tables/block_delta_r2.csv; tables/rolling_tradfi_exposures.csv; tables/ridge_stability.csv,figures/02_tradfi_exposure_shift.png,Period splits are descriptive and do not identify ETF effects.,accepted_qualified,02_macro_tradfi_integration,Later-sample equity co-movement is higher in the synchronized BTC/ETH exposure tables.,module-level evidence,see source_table,Later-sample equity co-movement is higher in the synchronized BTC/ETH exposure tables.,Reported in source tables where applicable; otherwise descriptive and coverage-bound.,"2020-01-03 to 2026-04-12, n=54",see source table,see source table,"HAC OLS, same-support block R2 deletion, rolling beta, FDR, VIF, and ridge sensitivity.",Later-sample equity co-movement is higher in the synchronized BTC/ETH exposure tables.,Period splits are descriptive and do not identify ETF effects.,table:block_delta_r2; table:rolling_tradfi_exposures; table:ridge_stability,uncertainty|sample,False
derivatives_leverage_01,03_derivatives_leverage_liquidations,Lagged leverage/funding/OI states are associated with volatility and tail-stress diagnostics.,rows=5,"Lagged state bins, tail logit diagnostics, denominator scaling, and liquidation event windows.",Reported in source tables where applicable; otherwise descriptive and coverage-bound.,B,tables/leverage_tail_risk_summary.csv; tables/tail_risk_models.csv; tables/liquidation_event_responses.csv,figures/03_leverage_tail_stress.png,Liquidation observations are timing-sensitive and do not prove directional liquidation attribution.,accepted_qualified,03_derivatives_leverage_liquidations,Lagged leverage/funding/OI states are associated with volatility and tail-stress diagnostics.,module-level evidence,see source_table,Lagged leverage/funding/OI states are associated with volatility and tail-stress diagnostics.,Reported in source tables where applicable; otherwise descriptive and coverage-bound.,rows=5,see source table,see source table,"Lagged state bins, tail logit diagnostics, denominator scaling, and liquidation event windows.",Lagged leverage/funding/OI states are associated with volatility and tail-stress diagnostics.,Liquidation observations are timing-sensitive and do not prove directional liquidation attribution.,table:leverage_tail_risk_summary; table:tail_risk_models; table:liquidation_event_responses,sample|measurement,True
etf_flows_01,04_etf_institutional_flows,ETF flow-return associations are reported as lag-response market-plumbing diagnostics with separate BTC and ETH source starts.,"2024-01-12 to 2026-04-10, n=12",Lag 0-5 flow-intensity correlations with moving-block bootstrap intervals and shock/placebo comparison.,Reported in source tables where applicable; otherwise descriptive and coverage-bound.,B,tables/etf_lag_response.csv; tables/etf_pre_inception_plot_audit.csv; tables/etf_flow_shock_placebo.csv,figures/04_etf_lag_response.png,Reported ETF flows have timing and simultaneity concerns; no causal price-impact claim.,accepted_qualified,04_etf_institutional_flows,ETF flow-return associations are reported as lag-response market-plumbing diagnostics with separate BTC and ETH source starts.,module-level evidence,see source_table,ETF flow-return associations are reported as lag-response market-plumbing diagnostics with separate BTC and ETH source starts.,Reported in source tables where applicable; otherwise descriptive and coverage-bound.,"2024-01-12 to 2026-04-10, n=12",see source table,see source table,Lag 0-5 flow-intensity correlations with moving-block bootstrap intervals and shock/placebo comparison.,ETF flow-return associations are reported as lag-response market-plumbing diagnostics with separate BTC and ETH source starts.,Reported ETF flows have timing and simultaneity concerns; no causal price-impact claim.,table:etf_lag_response; table:etf_pre_inception_plot_audit; table:etf_flow_shock_placebo,uncertainty|sample|measurement,True
stablecoin_defi_01,05_stablecoin_defi_liquidity,Stablecoin supply and DeFi TVL are endogenous liquidity-state proxies; raw USD TVL embeds valuation content.,rows=6,"Weekly state correlations, regime summaries, lagged features, and valuation-contamination audit.",Reported in source tables where applicable; otherwise descriptive and coverage-bound.,B,tables/liquidity_associations.csv; tables/valuation_contamination_audit.csv; tables/stablecoin_defi_liquidity_summary.csv,figures/liquidity_state_correlations.png,No exogenous liquidity-shock language is supported.,accepted_qualified,05_stablecoin_defi_liquidity,Stablecoin supply and DeFi TVL are endogenous liquidity-state proxies; raw USD TVL embeds valuation content.,module-level evidence,see source_table,Stablecoin supply and DeFi TVL are endogenous liquidity-state proxies; raw USD TVL embeds valuation content.,Reported in source tables where applicable; otherwise descriptive and coverage-bound.,rows=6,see source table,see source table,"Weekly state correlations, regime summaries, lagged features, and valuation-contamination audit.",Stablecoin supply and DeFi TVL are endogenous liquidity-state proxies; raw USD TVL embeds valuation content.,No exogenous liquidity-shock language is supported.,table:liquidity_associations; table:valuation_contamination_audit; table:stablecoin_defi_liquidity_summary,sample|measurement,False
onchain_holder_01,06_onchain_valuation_holder_behavior,"Same-day MVRV is measurement mechanics; lagged holder-state tables are diagnostics, not primary same-day factors.",rows=13,"MVRV identity decomposition, residual audit, same-day diagnostic, and lagged state outcomes.",Reported in source tables where applicable; otherwise descriptive and coverage-bound.,B,tables/mvrv_mechanical_link_audit.csv; tables/mvrv_identity_points.csv; tables/mvrv_regime_outcomes.csv,figures/measurement_mvrv_mechanics.png,Realized-cap source conventions affect residual interpretation.,accepted_qualified,06_onchain_valuation_holder_behavior,"Same-day MVRV is measurement mechanics; lagged holder-state tables are diagnostics, not primary same-day factors.",module-level evidence,see source_table,"Same-day MVRV is measurement mechanics; lagged holder-state tables are diagnostics, not primary same-day factors.",Reported in source tables where applicable; otherwise descriptive and coverage-bound.,rows=13,see source table,see source table,"MVRV identity decomposition, residual audit, same-day diagnostic, and lagged state outcomes.","Same-day MVRV is measurement mechanics; lagged holder-state tables are diagnostics, not primary same-day factors.",Realized-cap source conventions affect residual interpretation.,table:mvrv_mechanical_link_audit; table:mvrv_identity_points; table:mvrv_regime_outcomes,sample,False
chain_sector_01,07_chain_fundamentals_sector_dynamics,Chain fundamentals and PIT state variables currently support coverage and state-model diagnostics before headline relationship claims.,"2015-07-30 to 2024-10-25, rows=50","Coverage audit, chain activity associations, and standardized monthly PIT state coefficients.",Reported in source tables where applicable; otherwise descriptive and coverage-bound.,B,tables/chain_fundamental_panel_summary.csv; tables/pit_state_relationship_coefficients.csv,figures/07_pit_state_coefficients.png,PIT state is monthly and cannot support daily constituent-performance claims.,accepted_qualified,07_chain_fundamentals_sector_dynamics,Chain fundamentals and PIT state variables currently support coverage and state-model diagnostics before headline relationship claims.,module-level evidence,see source_table,Chain fundamentals and PIT state variables currently support coverage and state-model diagnostics before headline relationship claims.,Reported in source tables where applicable; otherwise descriptive and coverage-bound.,"2015-07-30 to 2024-10-25, rows=50",see source table,see source table,"Coverage audit, chain activity associations, and standardized monthly PIT state coefficients.",Chain fundamentals and PIT state variables currently support coverage and state-model diagnostics before headline relationship claims.,PIT state is monthly and cannot support daily constituent-performance claims.,table:chain_fundamental_panel_summary; table:pit_state_relationship_coefficients,sample,True
relative_factor_01,08_relative_asset_risk_factor_structure,Selected-major risk separates into a common crypto factor and asset-specific residual risk on the matched current-cohort window.,"2024-11-30 to 2026-06-16, n=10","PCA/common-factor decomposition, expected shortfall, downside beta, and matched-window coverage audit.",Reported in source tables where applicable; otherwise descriptive and coverage-bound.,B,tables/relative_factor_decomposition.csv; tables/downside_expected_shortfall.csv; tables/selected_major_betas.csv,figures/08_common_idiosyncratic_risk_decomposition.png,Short histories and current-cohort survivorship bias limit historical interpretation.,accepted_qualified,08_relative_asset_risk_factor_structure,Selected-major risk separates into a common crypto factor and asset-specific residual risk on the matched current-cohort window.,module-level evidence,see source_table,Selected-major risk separates into a common crypto factor and asset-specific residual risk on the matched current-cohort window.,Reported in source tables where applicable; otherwise descriptive and coverage-bound.,"2024-11-30 to 2026-06-16, n=10",see source table,see source table,"PCA/common-factor decomposition, expected shortfall, downside beta, and matched-window coverage audit.",Selected-major risk separates into a common crypto factor and asset-specific residual risk on the matched current-cohort window.,Short histories and current-cohort survivorship bias limit historical interpretation.,table:relative_factor_decomposition; table:downside_expected_shortfall; table:selected_major_betas,sample|measurement,True
