asset,frequency,model_family,regime,target,feature_id,n,sample_start,sample_end,calendar,calendar_assumption,close_time_assumption,p_value,fdr_q_value
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,btc_ret,qqq_ret,1233,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.0034298236514125,0.0091461964037667
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,btc_ret,spy_ret,1233,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.0033637544472401,0.0091461964037667
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,btc_ret,iwm_ret,1233,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,1.5034904467999885e-06,1.2027923574399906e-05
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,btc_ret,dxy_ret,1233,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.6485813409704819,0.6485813409704819
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,btc_ret,gold_ret,1233,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.0108718170243047,0.0217436340486094
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,btc_ret,vix_d1,1233,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.0174571961871003,0.0279315138993605
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,btc_ret,real_yield_d1,1233,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.2019727676838795,0.269297023578506
BTC,daily,long_sample_contemporaneous_exposure,full_common_sample,btc_ret,nominal_10y_d1,1233,2020-01-03,2026-04-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.5171793482655531,0.5910621123034893
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,btc_ret,qqq_ret,797,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.015002717931212,0.0240043486899393
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,btc_ret,spy_ret,797,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.0140204634978172,0.0240043486899393
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,btc_ret,iwm_ret,797,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.0022622353630924,0.0180978829047393
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,btc_ret,dxy_ret,797,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.7345375351455696,0.7345375351455696
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,btc_ret,gold_ret,797,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.0102563738001579,0.0240043486899393
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,btc_ret,vix_d1,797,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.0095327616206461,0.0240043486899393
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,btc_ret,real_yield_d1,797,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.0434946307896301,0.0579928410528402
BTC,daily,long_sample_contemporaneous_exposure,pre_btc_etf,btc_ret,nominal_10y_d1,797,2020-01-03,2024-01-10,tradfi_business_daily,BTC/ETH returns are computed between consecutive common TradFi business-date closes; TradFi returns/changes use the same business dates.,Local curated close timestamps are treated as provider daily closes; cross-market close-time mismatches are not intraday-adjusted.,0.160455198234287,0.1833773694106137
